Autor,ML o DL,Algoritmo Nombre,Algoritmo,Arquitectura,Pais de estudio,Región de estudio,Fuente de datos,Nombre Metrica,Metrica de evaluacion,Repositorio,Source Category,Source type,Product,Feature name,Temporal res.,Spatial res.,Output deseado,Link repository
Ahajjam et al - 2024,ML,Support Vector regression,SVR,No,USA,Alaska,NASA FIRMS,Accuracy,ACC,Si,Remote sensing,Remote sensing,Daymet v4,Daylight (Dayl),Daily,1 km,Fire occurrence preiction,github.com/MOREDataset/Wildfires
,,Multi-layer preceptron,MLP,,,,,False alarm rate,FAR,,Remote sensing,Remote sensing,Daymet v4,Precipitation (PRCP),Daily,1 km,Brunt Area prediction,
,,,,,,,,,,,Remote sensing,Remote sensing,Daymet v4,Solar Radiation (Srad),Daily,1 km,Fire duration Prediction,
,,,,,,,,,,,Remote sensing,Remote sensing,Daymet v4,Maximum Temperature (Temp_max),Daily,1 km,,
,,,,,,,,,,,Remote sensing,Remote sensing,Daymet v4,Minimum Temperature (Temp_min),Daily,1 km,,
,,,,,,,,,,,Remote sensing,Remote sensing,MOD13Q1.061,Normalized Difference Vegetation Index (NDVI),16-Day,250 m,,
,,,,,,,,,,,Remote sensing,Remote sensing,MOD13Q1.061,Enhanced Vegetation Index (EVI),16-Day,250 m,,
,,,,,,,,,,,Remote sensing,Remote sensing,MOD13Q1.061,Red surface reflectance (Red),16-Day,250 m,,
,,,,,,,,,,,Remote sensing,Remote sensing,MOD13Q1.061,Near-Infrared (NIR) surface reflectance (NIR),16-Day,250 m,,
,,,,,,,,,,,Remote sensing,Remote sensing,MOD13Q1.061,Blue surface reflectance (Blue),16-Day,250 m,,
,,,,,,,,,,,Remote sensing,Remote sensing,MOD13Q1.061,Mid-infrared surface reflectance (MIR),16-Day,250 m,,
,,,,,,,,,,,Remote sensing,Remote sensing,MOD11A1.061,Land Surface Temperature-Day (LST_day),Daily,1 km,,
,,,,,,,,,,,Remote sensing,Remote sensing,MOD11A1.061,Land Surface Temperature-Night (LST_night),Daily,1 km,,
,,,,,,,,,,,Remote sensing,Remote sensing,MOD11A1.061,Band 31 emissivity (Emis_31),Daily,1 km,,
,,,,,,,,,,,Remote sensing,Remote sensing,MOD11A1.061,Band 32 emissivity (Emis_32),Daily,1 km,,
,,,,,,,,,,,Remote sensing,Remote sensing,MOD11A1.061,Day clear-sky coverage (Clear_day),Daily,1 km,,
,,,,,,,,,,,Remote sensing,Remote sensing,MOD11A1.061,Night clear-sky coverage (Clear_night),Daily,1 km,,
