Authors,Author full names,Title,Year,Source title,Abstract,Author Keywords,Index Keywords
"Alkhatib, R; Sahwan, W; Alkhatieb, A; Schuett, B","Alkhatib, Ramez; Sahwan, Wahib; Alkhatieb, Anas; Schuett, Brigitta",A Brief Review Of Machine Learning Algorithms In Forest Fires Science,2023,APPLIED SCIENCES-BASEL,"Due to the harm forest fires cause to the environment and the economy as they occur more frequently around the world, early fire prediction and detection are necessary. To anticipate and discover forest fires, several technologies and techniques were put forth. To forecast the likelihood of forest fires and evaluate the risk of forest fire-induced damage, artificial intelligence techniques are a crucial enabling technology. In current times, there has been a lot of interest in machine learning techniques. The machine learning methods that are used to identify and forecast forest fires are reviewed in this article. Selecting the best forecasting model is a constant gamble because each ML algorithm has advantages and disadvantages. Our main goal is to discover the research gaps and recent studies that use machine learning techniques to study forest fires. By choosing the best ML techniques based on particular forest characteristics, the current research results boost prediction power.",machine learning; forest fires; wildfire; deep learning; drone; UAV; remote sensing; Google Earth Engine (GEE),GOOGLE EARTH ENGINE; LOGISTIC-REGRESSION; SUSCEPTIBILITY; SYSTEM; SURVEILLANCE; PREDICTION; PATTERNS; ECOLOGY; IMAGERY; MODEL
Yazici K.; Taskin A.,"Yazici, Kübra (57219387280); Taskin, Alev (23396453200)",A Comparative Bayesian Optimization-based Machine Learning And Artificial Neural Networks Approach For Burned Area Prediction In Forest Fires: An Application In Turkey,2023,Natural Hazards,"This study presents a prediction methodology to assist in designing an effective resource planning for wildfire fighting. The presented methodology uses artificial neural networks, bagging and boosting in ensemble learning algorithms, and traditional machine learning algorithms decision tree regression, Gaussian process regression and support vector regression to determine the size of the area to be burned in a forest fire that will start. The Bayesian optimization algorithm, which is used in the learning process of the methods, provides the optimum hyperparameter values of the methods to obtain the minimum error value. The methodology, which is first used to predict the size of the fires that occurred in different regions of Turkey between 2015 and 2019, yielded successful results. Second, it is applied to the Montesinho Natural Park forest fire dataset in Portugal to validate its robustness in different geographical regions. Finally, the results are compared with different studies in the literature. Compared with the literature, it is seen that the presented methodology has high accuracy and high speed in the prediction of the burned area. The results of the study are significant as the proposed methodology provides valuable information to the authorized units regarding resource planning during the forest fire response phase. Furthermore, the findings show that the presented methodology is reliable and can be used as an additional tool to predict the burned area for different countries. © 2023, The Author(s), under exclusive licence to Springer Nature B.V.",Artificial neural networks; Bayesian optimization; Machine learning; Prediction; Wildfire,Portugal; Turkey; algorithm; artificial neural network; Bayesian analysis; comparative study; forest fire; hazard management; prediction
"Janiec, P; Gadal, S","Janiec, Piotr; Gadal, Sebastien",A Comparison Of Two Machine Learning Classification Methods For Remote Sensing Predictive Modeling Of The Forest Fire In The North-eastern Siberia,2020,REMOTE SENSING,"The problem of forest fires in Yakutia is not as well studied as in other countries. Two methods of machine learning classifications were implemented to determine the risk of fire: MaxENT and random forest. The initial materials to define fire risk factors were satellite images and their products of various spatial and spectral resolution (Landsat TM, Modis TERRA, GMTED2010, VIIRS), vector data (OSM), and bioclimatic variables (WORLDCLIM). The results of the research showed a strong human influence on the risk in this region, despite the low population density. Anthropogenic factors showed a high correlation with the occurrence of wildfires, more than climatic or topographical factors. Other factors affect the risk of fires at the macroscale and microscale, which should be considered when modeling. The random forest method showed better results in the macroscale, however, the maximum entropy model was better in the microscale. The exclusion of variables that do not show a high correlation, does not always improve the modeling results. The random forest presence prediction model is a more accurate method and significantly reduces the risk territory. The reverse is the method of maximum entropy, which is not as accurate and classifies very large areas as endangered. Further study of this topic requires a clearer and conceptually developed approach to the application of remote sensing data. Therefore, this work makes sense to lay the foundations of the future, which is a completely automated fire risk assessment application in the Republic of Sakha. The results can be used in fire prophylactics and planning fire prevention. In the future, to determine the risk well, it is necessary to combine the obtained maps with the seasonal risk determined using indices (for example, the Nesterov index 1949) and the periodic dynamics of forest fires, which Isaev and Utkin studied in 1963. Such actions can help to build an application, with which it will be possible to determine the risk of wildfire and the spread of fire during extreme events.",wildfires; MaxENT; random forest; risk modeling; GIS; multi-scale analysis; Yakutia; Artic; Siberia,SPECIES DISTRIBUTIONS; SPATIAL-PATTERNS; SUSCEPTIBILITY; PROBABILITY; VEGETATION; LANDSCAPE; WILDFIRES; ENTROPY; YAKUTIA
Xing R.; Ju W.; Lu H.,"Xing, Rui (59168052700); Ju, Weiyi (57759589700); Lu, Hualiang (59168179500)","A Comprehensive Evaluation Model For Forest Fires Based On Mcda And Machine Learning: A Case Study Of Zhenjiang City, China",2024,"Environment, Development and Sustainability","In recent years, forest fire accidents around the world have caused many casualties and property losses. Therefore, the development of a new risk model to assess the risk of forest fires is the main purpose at present. Zhenjiang City, China was set as the study area, and the original data around 2022 were applied to assess the forest fire risk. This study applied multi-criteria decision analysis technology and machine learning to construct a comprehensive assessment model. In addition, six methods were applied to evaluate the severity and display fire maps. Finally, four model parameters and receiver operating characteristic curves were applied to verify the accuracy of the model. The results show that the random forest has the best prediction effect. The accuracy and the area under the curve were 0.8086 and 0.9312, respectively. Moreover, land use, precipitation, and population density are the three most important factors. Therefore, the local government should strengthen the investigation of fire hazards and build a dynamic real-time natural disaster database. © The Author(s), under exclusive licence to Springer Nature B.V. 2024.",Environmental management; Forest fire; Machine learning; Multi-criteria decision analysis; Risk analysis; Urban safety,
"Li, L","Li, Lu",A Comprehensive Survey Of Fire Weather Index (fwi) Systems And Iot Applications In Peatland Fire Management,2025,IEEE ACCESS,"This paper presents a theoretical overview of peatland forest fire management, focusing on the integration of IoT-based monitoring systems and Fire Weather Index (FWI) for improved fire prediction and mitigation. The paper examines the impact of wildfires on carbon loss in Southeast Asian peatland forests and reviews existing IoT solutions for monitoring environmental conditions, such as temperature, humidity, and soil moisture. Furthermore, the paper surveys the current advancements in FWI systems, highlighting the role of machine learning in improving the accuracy of fire risk predictions by analyzing large environmental datasets. The research discusses challenges related to integrating IoT with FWI systems and considers critical factors such as topography, altitude, and human activities. By synthesizing existing literature, this paper aims to outline the current state of research and propose directions for future work to enhance fire risk prediction and management in peatland ecosystems.",Sustainable management; peatland fires; carbon loss; carbon loss; Internet of Things (IoT); Internet of Things (IoT); environmental monitoring; environmental monitoring; fire weather index (FWI); fire weather index (FWI); wildfire prevention; wildfire prevention; wildfire prevention,DANGER; CARBON; INTERNET; TEMPERATURE; TECHNOLOGY; EMISSIONS; IMPACTS; FORESTS; CLIMATE; THINGS
Decastro A.L.; Juliano T.W.; Kosović B.; Ebrahimian H.; Balch J.K.,"Decastro, Amy L. (57222240118); Juliano, Timothy W. (57197867114); Kosović, Branko (6602729251); Ebrahimian, Hamed (57112070500); Balch, Jennifer K. (15844796800)",A Computationally Efficient Method For Updating Fuel Inputs For Wildfire Behavior Models Using Sentinel Imagery And Random Forest Classification,2022,Remote Sensing,"Disturbance events can happen at a temporal scale much faster than wildland fire fuel data updates. When used as input for wildland fire behavior models, outdated fuel datasets can contribute to misleading forecasts, which have implications for operational firefighting, mitigation, and wildland fire research. Remote sensing and machine learning methods can provide a solution for on-demand fuel estimation. Here, we show a proof of concept using C-band synthetic aperture radar and multispectral imagery, land cover classes, and tree mortality surveys to train a random forest classifier to estimate wildland fire fuel data in the East Troublesome Fire (Colorado) domain. The algorithm classified over 80% of the test dataset correctly, and the resulting wildland fire fuel data was used to simulate the East Troublesome Fire using the coupled atmosphere—wildland fire behavior model, WRF-Fire. The simulation using the modified fuel inputs, where 43% of original fuels are replaced with fuels representing dead trees, improved the burn area forecast by 38%. This study demonstrates the need for up-to-date fuel maps available in real time to provide accurate prediction of wildland fire spread, and outlines the methodology based on high-resolution satellite observations and machine learning that can accomplish this task. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",fuel model; random forest; Sentinel; wildland fire behavior model; WRF-Fire,Decision trees; Forecasting; Forestry; Fuels; Machine learning; Remote sensing; Statistical tests; Synthetic aperture radar; Behaviour models; Computationally efficient; Fire behavior modeling; Fire fuels; Fuel model; Random forests; Sentinel; Wildland fire; Wildland fire behavior model; WRF fires; Fires
Bakke S.J.; Wanders N.; Van Der Wiel K.; Tallaksen L.M.,"Bakke, Sigrid Jørgensen (57218136478); Wanders, Niko (55413209600); Van Der Wiel, Karin (54416512600); Tallaksen, Lena Merete (6701923195)",A Data-driven Model For Fennoscandian Wildfire Danger,2023,Natural Hazards and Earth System Sciences,"Wildfires are recurrent natural hazards that affect terrestrial ecosystems, the carbon cycle, climate and society. They are typically hard to predict, as their exact location and occurrence are driven by a variety of factors. Identifying a selection of dominant controls can ultimately improve predictions and projections of wildfires in both the current and a future climate. Data-driven models are suitable for identification of dominant factors of complex and partly unknown processes and can both help improve process-based models and work as independent models. In this study, we applied a data-driven machine learning approach to identify dominant hydrometeorological factors determining fire occurrence over Fennoscandia and produced spatiotemporally resolved fire danger probability maps. A random forest learner was applied to predict fire danger probabilities over space and time, using a monthly (2001-2019) satellite-based fire occurrence dataset at a 0.25° spatial grid as the target variable. The final data-driven model slightly outperformed the established Canadian Forest Fire Weather Index (FWI) used for comparison. Half of the 30 potential predictors included in the study were automatically selected for the model. Shallow volumetric soil water anomaly stood out as the dominant predictor, followed by predictors related to temperature and deep volumetric soil water. Using a local fire occurrence record for Norway as target data in a separate analysis, the test set performance increased considerably. This demonstrates the potential of developing reliable data-driven models for regions with a high-quality fire occurrence record and the limitation of using satellite-based fire occurrence data in regions subject to small fires not identified by satellites. We conclude that data-driven fire danger probability models are promising, both as a tool to identify the dominant predictors and for fire danger probability mapping. The derived relationships between wildfires and the selected predictors can further be used to assess potential changes in fire danger probability under different (future) climate scenarios. © 2023 Sigrid Jørgensen Bakke et al.",,Fennoscandia; Norway; fire management; hydrometeorology; identification method; machine learning; mapping; prediction; satellite data; soil water; wildfire
McCarthy N.F.; Tohidi A.; Aziz Y.; Dennie M.; Valero M.M.; Hu N.,"McCarthy, Nicholas F. (57195394647); Tohidi, Ali (56014188900); Aziz, Yawar (57222240992); Dennie, Matt (57222239584); Valero, Mario Miguel (57191477602); Hu, Nicole (57222241477)",A Deep Learning Approach To Downscale Geostationary Satellite Imagery For Decision Support In High Impact Wildfires,2021,Forests,"Scarcity in wildland fire progression data as well as considerable uncertainties in forecasts demand improved methods to monitor fire spread in real time. However, there exists at present no scalable solution to acquire consistent information about active forest fires that is both spatially and temporally explicit. To overcome this limitation, we propose a statistical downscaling scheme based on deep learning that leverages multi-source Remote Sensing (RS) data. Our system relies on a U-Net Convolutional Neural Network (CNN) to downscale Geostationary (GEO) satellite multispectral imagery and continuously monitor active fire progression with a spatial resolution similar to Low Earth Orbit (LEO) sensors. In order to achieve this, the model trains on LEO RS products, land use information, vegetation properties, and terrain data. The practical implementation has been optimized to use cloud compute clusters, software containers and multi-step parallel pipelines in order to facilitate real time operational deployment. The performance of the model was validated in five wildfires selected from among the most destructive that occurred in California in 2017 and 2018. These results demonstrate the effectiveness of the proposed methodology in monitoring fire progression with high spatiotemporal resolution, which can be instrumental for decision support during the first hours of wildfires that may quickly become large and dangerous. Additionally, the proposed methodology can be leveraged to collect detailed quantitative data about real-scale wildfire behaviour, thus supporting the development and validation of fire spread models. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Decision support; Fire progression; Machine learning; Remote sensing; Wildland fire,California; Computer Programs; Data; Deforestation; Fires; Land Use; Remote Sensing; Resolution; California; United States; Varanidae; Convolutional neural networks; Decision support systems; Deforestation; Fires; Geostationary satellites; Land use; Orbits; Remote sensing; Satellite imagery; Low earth orbit(LEO); Multi-spectral imagery; Operational deployments; Remote sensing data; Spatial resolution; Spatio-temporal resolution; Statistical downscaling; Vegetation properties; decision support system; downscaling; forest fire; geostationary satellite; machine learning; satellite imagery; Deep learning
Bjånes A.; De La Fuente R.; Mena P.,"Bjånes, Alexandra (57233460800); De La Fuente, Rodrigo (57201381946); Mena, Pablo (57219504521)",A Deep Learning Ensemble Model For Wildfire Susceptibility Mapping,2021,Ecological Informatics,"Devastating wildfires have increased in frequency and intensity over the last few years, worsened by climate change and prolonged droughts. Wildfire susceptibility mapping with machine learning has been proven useful for fire-prevention plans, turning into an indispensable tool in wildfire prevention. However, applications of deep learning models in wildfire susceptibility prediction to date are scarce. This study proposes a new Ensemble model based on two deep learning networks previously presented in literature that achieved remarkable results for forest fire susceptibility and other environmental risks. We compare our model with each of its sub-models, two more deep learning networks, and other machine learning benchmark, namely, XGBoost and SVM. Furthermore, we analyze the effects that different sample patch sizes have on the predictive performance of the algorithms. As case study we selected the fire occurrences in two regions in Chile, from 2013 to 2019. Satellite imagery data for fifteen fire influencing factors in the study area were retrieved to build a dataset to extract the samples to train the models. These factors include elevation, aspect, surface roughness, slope, minimum and maximum temperature, wind speed, precipitation, actual evapotranspiration, climatic water deficit, NDVI, land cover type, distance to rivers, distance to roads and distance to urban areas. During training, the best sample patch size was found to be 25 × 25 pixels. As a result, the highest area under the curve (AUC) was 0.953 achieved by the Ensemble model, followed by CNN-1 with AUC = 0.902. The Ensemble model also achieved the best accuracy, sensitivity, specificity, negative predictive value and F1 score. Finally, the predicted susceptibility maps suggest that static variables can be considered as predisposing factors, while dynamic variables affect the intensity of the predicted probabilities, with an important role of the anthropogenic variables. These resulting maps may be useful to prioritize wildfire surveillance and monitoring in extensive high risk areas. © 2021 Elsevier B.V.",Convolutional neural network; Forestry; Geographical information systems; Satellite imagery; Wildfire susceptibility,Chile; climate change; detection method; evapotranspiration; forest fire; land classification; land cover; machine learning; mapping method; NDVI; patch size; pixel; precipitation (climatology); satellite imagery; surface roughness; wildfire
Dong Z.; Zheng C.; Zhao F.; Wang G.; Tian Y.; Li H.,"Dong, Zixun (57886632500); Zheng, Change (57220940755); Zhao, Fengjun (16687295100); Wang, Guangyu (59141605300); Tian, Ye (55480188400); Li, Hongchen (59141208300)",A Deep Learning Framework: Predicting Fire Radiative Power From The Combination Of Polar-orbiting And Geostationary Satellite Data During Wildfire Spread,2024,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"Fire radiative power (FRP) is a key indicator for evaluating the intensity of wildfires, unlike traditional real-time fire lines or combustion areas that only provide binary information, and its accurate prediction is more important for firefighting actions and environmental pollution assessment. To this end, we used a combination of data from geostationary satellites and polar orbit satellites to correct the FRP data. Incorporating various factors that affect wildfire spread, such as meteorological conditions, topography, vegetation indexes, and population density, we constructed a comprehensive California wildfire spread dataset, covering information since 2017. Then, we established a deep learning framework that integrates various modules to analyze multimodal data for the accurate prediction of FRP imagery. We investigated the impact of input sequence length and loss function design on model predictive performance, leading to subsequent model optimization. Furthermore, our model has demonstrated acceptable performance in transfer learning and multistep prediction, emphasizing its application value in wildfire prediction and management. It can provide more detailed information about wildfire spread, showcasing the powerful capability of deep learning to process multimodal data and its potential in the emerging field of real-time FRP prediction.  © 2008-2012 IEEE.",Deep learning; fire radiative power (FRP); remote sensing; spatiotemporal prediction; wildfire,California; United States; Biological systems; Deep learning; Forecasting; Forestry; Geostationary satellites; Orbits; Population statistics; Vegetation; Biological system modeling; Deep learning; Fire radiative power; Predictive models; Remote-sensing; Spatio-temporal prediction; Vegetation mapping; Wildfire; geostationary satellite; machine learning; prediction; radiative forcing; real time; remote sensing; satellite data; wildfire; Remote sensing
